Soil;Depth;Sand;Silt;Clay;Corg;pH;Raw_density;Pore_volume;Field_capacity;nKF;Wilting_point;KA5TextureClass
soil1;30;0.825;0.083;0.092;0.872093;7.22;1.682;;;;;
soil2;30;0.869;0.06;0.072;0.872093;8;1.682;;;;;
soil2;60;0.847;0.08;0.073;0.290698;;1.682;;;;;
soil2;90;0.826;0.109;0.065;0.290698;;1.682;;;;;
soil3;30;0.76;0.121;0.119;0.290698;6.9;1.682;;;;;
soil3;60;0.765;0.109;0.126;0.290698;;1.682;;;;;
soil3;90;0.758;0.141;0.001;0.290698;;1.682;;;;;
soil4;30;0.78;0.17;0.05;0.872093;5.8;1.788;0.325;;0.17;;Sl2
soil4;60;0.76;0.21;0.03;0;5.8;1.766;0.334;;0.151;;Su2
soil4;100;0.73;0.16;0.11;0;5.8;1.906;0.281;;0.103;;Sl3
soil4;230;0.77;0.17;0.06;0;5.8;1.87;0.294;;0.177;;Sl2
soil5;40;0.91;0.06;0.03;0.872093;5.8;1.716;0.352;;0.1;;mSfs
soil5;70;0.92;0.05;0.03;0;5.8;1.748;0.34;;0.094;;mSfs
soil5;90;0.95;0.03;0.02;0;5.8;1.645;0.379;;0.083;;mSfs
soil5;120;0.97;0.02;0.01;0;5.8;1.801;0.32;;0.085;;mSfs
soil6;30;0.87;0.1;0.03;0.52;5.1;1.6;;;0.07;;Sp
soil6;50;0.91;0.06;0.03;0.21;5.5;1.7;;;0.05;;Sp
soil6;80;0.84;0.14;0.02;0.09;5.1;1.7;;;0.17;;Sgf
soil6;100;0.81;0.16;0.03;0.05;4.6;1.7;;;0.17;;Sgf
soil6;120;0.73;0.13;0.14;0.13;4.7;1.8;;;0.15;;Mg
soil6;170;0.73;0.19;0.08;0.09;7.4;1.8;;;0.17;;Mg
soil7;10;0.69;0.24;0.07;1.4;6.5;1.56;0.411;0.249;0.069;;
soil7;20;0.69;0.24;0.07;1.4;6.5;1.59;0.4;0.243;0.07;;
soil7;30;0.69;0.24;0.07;1.4;6.5;1.51;0.43;0.23;0.05;;
soil7;40;;;;;;1.73;0.347;0.193;0.047;;
soil7;50;;;;;;1.65;0.378;0.193;0.038;;
soil7;60;;;;;;1.63;0.385;0.183;0.03;;
soil8;30;0.78;0.17;0.05;0.872093;;1.682;;0.155;;0.045;
soil8;60;0.82;0.13;0.05;0.290698;;1.682;;0.137;;0.029;
soil8;90;0.65;0.21;0.14;0.290698;;1.682;;0.157;;0.035;
soil8;150;0.85;0.11;0.05;0.290698;;1.682;;;;;
soil9;20;0.65;0.29;0.06;0.872093;;1.682;;;;;
soil9;40;0.62;0.32;0.06;0.872093;;1.682;;;;;
soil9;60;0.68;0.26;0.06;0.290698;;1.682;;;;;
soil9;80;0.67;0.21;0.12;0.290698;;1.682;;;;;
soil10;30;0.58;0.23;0.19;0.5;;1.5;;;;;
soil10;50;0.54;0.29;0.17;0.5;;1.5;;;;;
soil10;110;0.33;0.21;0.46;0.5;;1.5;;;;;
soil10;150;0.24;0.17;0.59;0.5;;1.5;;;;;
soil11;30;0.65;0.25;0.1;0.872093;5.05;1.61;;;;;Sl3
soil11;55;0.65;0.25;0.1;0.290698;5.05;1.61;;;;;Sl3
soil11;120;0.65;0.25;0.1;0;5.75;1.61;;;;;Sl3
soil11;150;0.93;0.05;0.02;0;7.55;1.682;;;;;Ss
soil11;200;0.93;0.05;0.02;0;7.55;1.682;;;;;Ss
