Date;Precipitation;TempMin;TempMean;TempMax;Radiation;SunshineDuration;SoilMoisture;SoilTemperature;Windspeed;RefETcalc;RefETdwd;RelHumCalc;Gridcell
01.08.2002;9.8;17.2;20.7;27.3;14.5;;;;2.0;;;70;
02.08.2002;0.0;16.1;19.4;24.5;22.8;;;;1.9;;;74;
03.08.2002;1.6;13.9;20.1;26.0;17.4;;;;1.4;;;65;
04.08.2002;1.4;15.2;17.8;20.8;12.6;;;;1.5;;;80;
05.08.2002;3.8;13.8;17.5;21.2;9.9;;;;1.5;;;76;
06.08.2002;0.0;13.4;18.1;23.2;21.8;;;;1.3;;;70;
07.08.2002;0.0;13.0;17.2;21.8;9.4;;;;1.6;;;72;
08.08.2002;0.2;16.1;18.0;21.0;8.9;;;;1.2;;;82;
09.08.2002;1.0;14.0;18.8;24.3;18.7;;;;1.4;;;69;
10.08.2002;35.9;13.1;18.4;25.0;14.5;;;;1.6;;;66;
11.08.2002;22.1;15.5;19.0;22.9;10.3;;;;1.7;;;76;
12.08.2002;2.0;16.1;17.7;19.6;8.6;;;;3.5;;;86;
13.08.2002;0.0;15.7;18.1;21.7;13.9;;;;3.5;;;80;
14.08.2002;0.0;15.7;18.8;23.1;10.1;;;;1.9;;;76;
15.08.2002;0.0;14.4;19.6;25.5;23.6;;;;1.3;;;68;
16.08.2002;0.0;13.3;19.6;25.8;24.4;;;;1.3;;;64;
17.08.2002;0.1;14.7;21.1;27.6;20.7;;;;1.4;;;64;
18.08.2002;0.2;16.9;22.1;28.1;17.1;;;;2.0;;;68;
19.08.2002;0.0;16.9;24.2;30.4;22.1;;;;1.8;;;63;
20.08.2002;0.0;16.8;24.2;30.5;23.1;;;;2.0;;;63;
21.08.2002;1.1;16.5;21.0;26.7;16.9;;;;1.8;;;70;
22.08.2002;3.2;15.0;18.9;24.7;18.1;;;;1.3;;;71;
23.08.2002;3.1;16.1;18.6;25.1;13.8;;;;1.3;;;72;
24.08.2002;7.0;14.2;20.1;26.5;15.8;;;;1.5;;;65;
25.08.2002;7.7;15.9;18.2;22.0;14.8;;;;1.5;;;79;
26.08.2002;0.0;15.5;20.4;25.7;19.0;;;;1.8;;;70;
27.08.2002;0.0;15.6;21.5;27.4;17.9;;;;1.9;;;66;
28.08.2002;0.0;16.4;20.9;26.2;18.1;;;;1.6;;;71;
29.08.2002;0.0;15.5;19.8;25.4;17.5;;;;1.2;;;70;
30.08.2002;0.0;16.1;19.7;25.1;18.1;;;;1.3;;;72;
31.08.2002;0.0;13.9;18.8;23.7;11.0;;;;2.2;;;70;
01.09.2002;0.0;12.4;15.9;20.1;14.6;;;;2.5;;;75;
02.09.2002;0.0;9.2;15.4;21.5;19.3;;;;1.9;;;64;
03.09.2002;0.4;8.9;16.0;21.5;14.1;;;;2.4;;;63;
04.09.2002;4.9;12.4;18.0;24.1;12.2;;;;1.8;;;66;
05.09.2002;0.0;13.5;16.7;20.9;14.3;;;;1.3;;;76;
06.09.2002;0.0;11.7;16.7;22.7;14.6;;;;1.7;;;67;
07.09.2002;0.0;12.2;17.2;22.6;16.8;;;;1.7;;;69;
08.09.2002;0.0;14.8;20.2;26.4;15.1;;;;1.7;;;67;
09.09.2002;0.0;14.4;20.4;26.9;19.4;;;;2.4;;;65;
10.09.2002;1.0;13.1;15.0;17.8;7.3;;;;2.1;;;83;
11.09.2002;0.0;12.8;17.0;23.1;12.2;;;;1.9;;;69;
12.09.2002;0.0;10.4;15.2;20.8;19.3;;;;2.4;;;68;
13.09.2002;0.0;7.2;15.0;21.5;18.8;;;;1.7;;;59;
14.09.2002;1.9;10.8;14.8;17.7;6.3;;;;2.4;;;77;
15.09.2002;0.0;8.0;12.4;17.0;14.0;;;;2.3;;;71;
16.09.2002;0.8;7.0;12.3;17.2;8.5;;;;1.7;;;68;
17.09.2002;1.0;12.4;14.4;17.5;6.4;;;;2.0;;;81;
18.09.2002;0.0;11.5;14.0;16.6;6.4;;;;2.1;;;81;
19.09.2002;0.0;12.4;14.0;16.4;5.8;;;;1.2;;;84;
20.09.2002;0.0;11.3;13.9;16.9;5.8;;;;1.7;;;80;
21.09.2002;0.8;10.7;12.8;16.1;6.5;;;;1.6;;;80;
22.09.2002;5.9;8.7;11.1;15.4;7.5;;;;1.9;;;77;
23.09.2002;0.2;6.9;8.8;10.4;5.5;;;;3.2;;;85;
24.09.2002;0.0;2.2;7.9;13.9;15.5;;;;2.9;;;64;
25.09.2002;1.5;3.6;8.2;12.1;5.3;;;;1.9;;;71;
26.09.2002;0.2;10.7;11.9;13.0;5.5;;;;2.3;;;89;
27.09.2002;0.0;3.2;9.0;13.2;14.9;;;;2.0;;;68;
29.09.2002;0.1;4.0;9.4;13.2;5.2;;;;1.4;;;70;
29.09.2002;0.0;7.3;11.5;17.5;8.1;;;;1.4;;;68;
30.09.2002;0.0;6.1;11.4;18.6;12.1;;;;1.3;;;63;
01.10.2002;0;7.2;11.7;19.4;14.9;;;;1.278125;;;81.3;
02.10.2002;0;7.2;12.3;18.5;10.3;;;;1.045833333;;;83.5;
03.10.2002;0.8;8.8;14.1;17.6;6.8;;;;2.608333333;;;87.3;
04.10.2002;0.2;10.4;12.6;17.2;11.3;;;;4.359375;;;85.9;
05.10.2002;10.7;8.5;11;13.2;4.5;;;;4.485416667;;;93;
06.10.2002;4.5;5.3;10.2;11.9;4.5;;;;5.070833333;;;91.4;
07.10.2002;0.3;2.3;5.5;7.8;3.7;;;;1.792708333;;;91;
08.10.2002;0;-0.5;5.1;8.9;10.7;;;;2.016666667;;;86.7;
09.10.2002;0;6;8.8;11.8;9.8;;;;4.658333333;;;80.7;
10.10.2002;0;2.7;6.1;10.4;13.9;;;;6.032291667;;;71.2;
11.10.2002;0;1;4.7;9.8;14.2;;;;6.211458333;;;69.8;
12.10.2002;0;-0.2;3.7;7.2;9.9;;;;5.255208333;;;73.1;
13.10.2002;0;2;3.4;4.4;2.6;;;;4.528125;;;79.7;
14.10.2002;4.1;1.8;5.6;9.6;3.3;;;;2.8375;;;88.8;
15.10.2002;0.2;5.3;7.5;10.3;1.8;;;;2.402083333;;;97.3;
16.10.2002;4.2;10.8;12.7;15.1;4.5;;;;2.020833333;;;87.6;
17.10.2002;0;6.2;10.7;12.9;9.4;;;;5.482291667;;;82.6;
18.10.2002;0.6;5.9;7.7;10.8;8.3;;;;4.477083333;;;93.3;
19.10.2002;0.7;3.2;5.8;9.6;7.6;;;;3.891666667;;;94.7;
20.10.2002;0;3;5.4;9.9;8.5;;;;2.921875;;;93.6;
21.10.2002;8.2;4.2;6.5;12;0.9;;;;3.004166667;;;96;
22.10.2002;1.9;10.1;12.8;15.1;4.3;;;;1.676041667;;;90.2;
23.10.2002;5.8;6.4;11.1;14.9;3.4;;;;4.5875;;;82.9;
24.10.2002;0.3;2.7;6.1;9.9;6.8;;;;3.520833333;;;79.1;
25.10.2002;8.1;3.2;8.9;12;3.7;;;;3.4;;;86.7;
26.10.2002;3.9;8.1;10.4;13;5.9;;;;7.445833333;;;91;
27.10.2002;12.8;7.3;10;14.7;3.9;;;;7.589583333;;;90.5;
28.10.2002;9.7;4.1;7.3;10.4;6;;;;8.271875;;;82.7;
29.10.2002;0.5;5.2;7.3;10.3;6.9;;;;2.56875;;;82.7;
30.10.2002;2.4;4.6;7.1;10;7.2;;;;0.977083333;;;91.7;
31.10.2002;0;2.5;5.7;10.9;8.8;;;;1.336458333;;;94.8;
01.11.2002;1.5;2.9;6.5;10.1;4.6;;;;2.141666667;;;94.5;
02.11.2002;14.7;4.8;7.2;10.1;1.5;;;;4.5125;;;94.5;
03.11.2002;9;3.3;3.9;5.3;1.6;;;;5.576041667;;;90.7;
04.11.2002;0.2;-0.4;2.2;3.8;1.3;;;;3.398958333;;;96.6;
05.11.2002;0;-2.2;0.1;3.5;9.5;;;;2.225;;;78.8;
06.11.2002;0;-3.2;0.2;4.2;9.4;;;;1.970833333;;;86.1;
07.11.2002;3.4;-1.6;1.5;5.8;1.3;;;;2.066666667;;;84;
08.11.2002;2.3;4.3;5.7;7.4;4;;;;4.75;;;85.3;
09.11.2002;8.4;3.7;4.9;6.9;1.8;;;;6.376041667;;;89.5;
10.11.2002;0;3;4;6.3;2.9;;;;2.052083333;;;89.3;
11.11.2002;5.4;3.1;5.6;8.4;1.3;;;;3.311458333;;;92.9;
12.11.2002;1.1;5.3;8.6;11;4.8;;;;2.470833333;;;84;
13.11.2002;0.4;7.7;9.9;11.9;2.4;;;;2.883333333;;;75.8;
14.11.2002;1.6;6.3;8.2;10.8;2.3;;;;1.955208333;;;85.7;
15.11.2002;0.8;4.7;6.7;8.1;1.4;;;;0.955208333;;;97.4;
16.11.2002;6.4;5.2;7;8;2.4;;;;2.034375;;;98.6;
17.11.2002;11.1;5.3;7.6;8.6;1.9;;;;3.744791667;;;97.2;
18.11.2002;0;5;7.4;11.3;5.5;;;;1.223958333;;;91.5;
19.11.2002;0;-0.3;5.2;6.9;1.2;;;;2.315625;;;92.2;
